Row Type,Action,Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Status,Phone number,Country code,Callout text
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa für 2,Phrase,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,headspa zu zweit,Phrase,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,partner head spa,Phrase,,Enabled,,,
Keyword,Add,WT-ZUZWEIT-SEARCH,WT-ZuZweit-Core,head spa paar,Phrase,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,friseur,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,frisör,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,haircut,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,haarschnitt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,färben,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,strähnchen,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,nagel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,nägel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,nagelstudio,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,pediküre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,maniküre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,kosmetik,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,gesichtsbehandlung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,laser,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,haarentfernung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,job,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,gehalt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,ausbildung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,lehre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,schulung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,kurs,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,diy,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,gratis,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,amazon,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,youtube,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,tutorial,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,hotel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,reise,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,krankenkasse,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,rezept,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,arzt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,therapie,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,fenster,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,fensterreinigung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-HS-SEARCH,,glasreinigung,Broad,,Enabled,,,
Campaign call,Add,WT-HS-SEARCH,,,,,Enabled,01733828581,DE,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,friseur,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,frisör,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,haircut,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,haarschnitt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,färben,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,strähnchen,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,nagel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,nägel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,nagelstudio,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,pediküre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,maniküre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,kosmetik,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,gesichtsbehandlung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,laser,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,haarentfernung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,job,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,gehalt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,ausbildung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,lehre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,schulung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,kurs,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,diy,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,gratis,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,amazon,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,youtube,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,tutorial,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,hotel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,reise,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,krankenkasse,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,rezept,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,arzt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,therapie,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,fenster,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,fensterreinigung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-GUTSCHEIN-SEARCH,,glasreinigung,Broad,,Enabled,,,
Campaign call,Add,WT-GUTSCHEIN-SEARCH,,,,,Enabled,01733828581,DE,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,friseur,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,frisör,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,haircut,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,haarschnitt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,färben,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,strähnchen,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,nagel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,nägel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,nagelstudio,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,pediküre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,maniküre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,kosmetik,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,gesichtsbehandlung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,laser,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,haarentfernung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,job,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,gehalt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,ausbildung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,lehre,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,schulung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,kurs,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,diy,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,gratis,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,amazon,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,youtube,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,tutorial,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,hotel,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,reise,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,krankenkasse,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,rezept,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,arzt,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,therapie,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,fenster,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,fensterreinigung,Broad,,Enabled,,,
Campaign Negative Keyword,Add,WT-ZUZWEIT-SEARCH,,glasreinigung,Broad,,Enabled,,,
Campaign call,Add,WT-ZUZWEIT-SEARCH,,,,,Enabled,01733828581,DE,
Campaign callout,Add,WT-HS-SEARCH,,,,,Enabled,,,Reine Entspannung
Campaign callout,Add,WT-HS-SEARCH,,,,,Enabled,,,Zeit nur fuer dich
Campaign callout,Add,WT-GUTSCHEIN-SEARCH,,,,,Enabled,,,Stille statt Zeug
Campaign callout,Add,WT-GUTSCHEIN-SEARCH,,,,,Enabled,,,Ab 89 Euro
